Event Time (UTC),GPS Time (UTC),Horizontal Accuracy,Latitude,Longitude,Speed (GPS),City,Cellular Carrier,Carrier MCC,Carrier MNC,Google Play Services Status,Device ID,IP Address,Device Language,Device Model,Device OS,Device OS Version,Region,Session Start Time (UTC),Analytics Event Type
2026-02-06 05:05:30.889,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:31.215,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:32.131,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:32.151,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:32.276,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:32.294,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:32.311,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:32.355,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:32.720,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:35.714,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:33.219,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:33.220,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:33.220,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:33.221,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:33.221,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,impression
2026-02-06 05:05:34.872,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,lifecycle
2026-02-06 05:05:36.142,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,lifecycle
2026-02-06 05:05:29.783,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:29.994,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:30.361,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:29.994,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:30.431,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:30.439,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
2026-02-06 05:05:30.530,2026-02-06 05:05:24.529,108.195014,40.78202489296736,-111.99002463002383,-1.0,salt_lake_city,,,,,02F8BF90-F943-4C67-9997-0DF8E12BD310,,en_US,"iPhone18,2",ios,26.1,US,2026-02-06 05:05:26.324,custom
